epoch,train_acc,val_acc,train_loss,val_loss,avg_grad,GPU1_tot,GPU1_occ
0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.797,0.908,1.56,1.58,0.0019,25447.0,2092
1,0.919,0.933,1.552,1.542,0.0017,25447.0,2092
2,0.939,0.951,1.52,1.52,0.0014,25447.0,2092
3,0.952,0.96,1.503,1.511,0.0013,25447.0,2092
4,0.962,0.968,1.528,1.503,0.0014,25447.0,2092
5,0.967,0.969,1.482,1.501,0.0011,25447.0,2092
6,0.971,0.974,1.48,1.496,0.0012,25447.0,2092
7,0.973,0.972,1.498,1.495,0.0003,25447.0,2092
8,0.976,0.976,1.48,1.492,0.001,25447.0,2092
9,0.978,0.975,1.468,1.492,0.0006,25447.0,2092
10,0.979,0.977,1.48,1.491,0.0006,25447.0,2092
11,0.981,0.98,1.49,1.488,0.0017,25447.0,2092
12,0.982,0.979,1.466,1.487,0.0004,25447.0,2092
13,0.982,0.979,1.467,1.486,0.0004,25447.0,2092
14,0.983,0.98,1.478,1.486,0.0006,25447.0,2092
15,0.985,0.98,1.475,1.487,0.0016,25447.0,2092
16,0.985,0.981,1.493,1.485,0.0016,25447.0,2092
17,0.985,0.981,1.464,1.484,0.0004,25447.0,2092
18,0.986,0.983,1.484,1.485,0.002,25447.0,2092
19,0.987,0.983,1.478,1.482,0.001,25447.0,2092
20,0.986,0.983,1.489,1.483,0.0005,25447.0,2092
21,0.988,0.984,1.463,1.484,0.0003,25447.0,2092
22,0.988,0.983,1.473,1.484,0.0008,25447.0,2092
23,0.988,0.981,1.49,1.484,0.002,25447.0,2092
24,0.988,0.985,1.47,1.483,0.0005,25447.0,2092
25,0.989,0.983,1.462,1.482,0.0003,25447.0,2092
26,0.989,0.983,1.466,1.482,0.0002,25447.0,2092
27,0.989,0.985,1.464,1.482,0.0003,25447.0,2092
28,0.99,0.984,1.469,1.481,0.0002,25447.0,2092
29,0.99,0.984,1.467,1.482,0.0005,25447.0,2092
30,0.99,0.983,1.463,1.482,0.0003,25447.0,2092
31,0.99,0.984,1.461,1.481,0.0,25447.0,2092
32,0.991,0.984,1.492,1.482,0.0,25447.0,2092
33,0.99,0.984,1.462,1.482,0.0002,25447.0,2092
34,0.991,0.985,1.461,1.482,0.0001,25447.0,2092
35,0.991,0.985,1.465,1.481,0.0001,25447.0,2092
36,0.991,0.984,1.465,1.481,0.0005,25447.0,2092
37,0.992,0.985,1.461,1.482,0.0,25447.0,2092
38,0.991,0.985,1.468,1.481,0.0005,25447.0,2092
39,0.992,0.985,1.494,1.481,0.0007,25447.0,2092
40,0.991,0.985,1.467,1.482,0.0005,25447.0,2092
41,0.992,0.985,1.461,1.481,0.0,25447.0,2092
42,0.992,0.986,1.471,1.481,0.001,25447.0,2092
43,0.992,0.985,1.461,1.482,0.0001,25447.0,2092
44,0.992,0.986,1.461,1.481,0.0,25447.0,2092
45,0.992,0.986,1.466,1.481,0.0002,25447.0,2092
46,0.993,0.984,1.464,1.483,0.0006,25447.0,2092
47,0.992,0.985,1.466,1.482,0.0003,25447.0,2092
48,0.992,0.985,1.465,1.482,0.0,25447.0,2092
49,0.992,0.985,1.466,1.481,0.0003,25447.0,2092
50,0.993,0.986,1.467,1.482,0.0005,25447.0,2092
51,0.993,0.986,1.466,1.48,0.0003,25447.0,2092
52,0.993,0.985,1.461,1.481,0.0,25447.0,2092
53,0.993,0.985,1.461,1.483,0.0001,25447.0,2092
54,0.993,0.986,1.463,1.482,0.0003,25447.0,2092
55,0.993,0.986,1.466,1.481,0.0,25447.0,2092
56,0.993,0.986,1.461,1.481,0.0,25447.0,2092
57,0.993,0.986,1.489,1.481,0.0003,25447.0,2092
58,0.994,0.985,1.461,1.482,0.0,25447.0,2092
59,0.993,0.985,1.466,1.482,0.0002,25447.0,2092
60,0.993,0.986,1.467,1.482,0.0003,25447.0,2092
61,0.993,0.986,1.461,1.481,0.0001,25447.0,2092
62,0.993,0.985,1.489,1.483,0.0004,25447.0,2092
63,0.993,0.986,1.47,1.481,0.0003,25447.0,2092
64,0.994,0.986,1.462,1.48,0.0004,25447.0,2092
65,0.993,0.987,1.461,1.481,0.0,25447.0,2092
66,0.994,0.985,1.488,1.481,0.0001,25447.0,2092
67,0.994,0.985,1.474,1.481,0.0002,25447.0,2092
68,0.994,0.986,1.463,1.481,0.0006,25447.0,2092
69,0.994,0.986,1.461,1.481,0.0,25447.0,2092
70,0.994,0.986,1.465,1.482,0.0001,25447.0,2092
71,0.994,0.986,1.466,1.481,0.0004,25447.0,2092
72,0.994,0.986,1.465,1.481,0.0001,25447.0,2092
73,0.994,0.987,1.461,1.481,0.0001,25447.0,2092
74,0.994,0.986,1.466,1.481,0.0003,25447.0,2092
75,0.994,0.986,1.466,1.482,0.0,25447.0,2092
76,0.994,0.986,1.461,1.482,0.0,25447.0,2092
77,0.994,0.986,1.462,1.482,0.0001,25447.0,2092
78,0.994,0.986,1.461,1.482,0.0,25447.0,2092
79,0.994,0.986,1.461,1.479,0.0,25447.0,2092
80,0.994,0.985,1.461,1.482,0.0,25447.0,2092
81,0.994,0.985,1.461,1.481,0.0,25447.0,2092
82,0.994,0.986,1.461,1.481,0.0,25447.0,2092
83,0.994,0.986,1.461,1.481,0.0,25447.0,2092
84,0.994,0.986,1.465,1.481,0.0,25447.0,2092
85,0.994,0.986,1.465,1.481,0.0,25447.0,2092
86,0.994,0.986,1.461,1.481,0.0,25447.0,2092
87,0.994,0.986,1.463,1.481,0.0004,25447.0,2092
88,0.994,0.985,1.468,1.483,0.0005,25447.0,2092
89,0.994,0.986,1.461,1.482,0.0,25447.0,2092
90,0.994,0.986,1.461,1.481,0.0,25447.0,2092
91,0.994,0.986,1.461,1.482,0.0,25447.0,2092
92,0.994,0.986,1.461,1.481,0.0,25447.0,2092
93,0.994,0.986,1.465,1.483,0.0,25447.0,2092
94,0.994,0.986,1.461,1.482,0.0,25447.0,2092
95,0.994,0.986,1.461,1.482,0.0,25447.0,2092
96,0.994,0.986,1.461,1.482,0.0001,25447.0,2092
97,0.994,0.986,1.461,1.481,0.0,25447.0,2092
98,0.994,0.987,1.461,1.482,0.0001,25447.0,2092
99,0.995,0.986,1.492,1.481,0.0,25447.0,2092
