epoch,train_acc,val_acc,train_loss,val_loss,avg_grad,GPU1_tot,GPU1_occ
0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.1,0.089,2.305,2.303,0.0018,25447.0,13
1,0.1,0.093,2.301,2.303,0.0017,25447.0,13
2,0.1,0.096,2.296,2.302,0.0018,25447.0,13
3,0.1,0.097,2.291,2.302,0.0018,25447.0,13
4,0.1,0.1,2.286,2.301,0.0019,25447.0,13
5,0.3,0.122,2.281,2.301,0.002,25447.0,13
6,0.4,0.144,2.276,2.301,0.002,25447.0,13
7,0.5,0.134,2.271,2.3,0.0021,25447.0,13
8,0.5,0.122,2.265,2.3,0.0023,25447.0,13
9,0.5,0.119,2.26,2.299,0.0024,25447.0,13
10,0.5,0.12,2.254,2.299,0.0026,25447.0,13
11,0.4,0.122,2.248,2.298,0.0027,25447.0,13
12,0.4,0.123,2.241,2.297,0.0028,25447.0,13
13,0.4,0.126,2.235,2.297,0.003,25447.0,13
14,0.4,0.129,2.228,2.296,0.0031,25447.0,13
15,0.5,0.131,2.221,2.296,0.0032,25447.0,13
16,0.5,0.135,2.213,2.295,0.0034,25447.0,13
17,0.5,0.138,2.206,2.295,0.0035,25447.0,13
18,0.5,0.141,2.198,2.294,0.0036,25447.0,13
19,0.5,0.143,2.189,2.294,0.0037,25447.0,13
20,0.5,0.146,2.181,2.293,0.0037,25447.0,13
21,0.5,0.149,2.172,2.292,0.0038,25447.0,13
22,0.5,0.151,2.163,2.292,0.0038,25447.0,13
23,0.5,0.154,2.154,2.291,0.0038,25447.0,13
24,0.5,0.156,2.145,2.29,0.0038,25447.0,13
25,0.5,0.157,2.136,2.29,0.0038,25447.0,13
26,0.5,0.159,2.127,2.289,0.0037,25447.0,13
27,0.5,0.16,2.118,2.288,0.0036,25447.0,13
28,0.5,0.161,2.109,2.287,0.0035,25447.0,13
29,0.5,0.161,2.1,2.286,0.0034,25447.0,13
30,0.5,0.162,2.091,2.285,0.0032,25447.0,13
31,0.5,0.162,2.082,2.284,0.0031,25447.0,13
32,0.5,0.163,2.074,2.283,0.003,25447.0,13
33,0.5,0.163,2.065,2.281,0.003,25447.0,13
34,0.5,0.163,2.056,2.28,0.0029,25447.0,13
35,0.5,0.163,2.048,2.278,0.0028,25447.0,13
36,0.5,0.164,2.039,2.276,0.0027,25447.0,13
